State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.43982298719104856	0.4228764539016701	0.025699133431032608	0.0	0.005214674937754023	0.014504500630179409	0.03630722898108206	0.008719175382038952	0.0020249341060125914	8.12865516866261E-5	0.012279717494585587	4.537799149580693E-4	0.0	0.023038410245937627	0.008977717232013857
2	0.0770513192535765	0.7683562515965316	0.018344117077426357	0.0	1.8304353155659732E-4	0.008809264313055922	0.057188306682610865	0.0695002908051985	0.0	0.0	5.67406740043575E-4	0.0	0.0	0.0	0.0
3	0.00550823692989432	0.02925154079557034	0.6971718610224391	0.21241122325702352	0.013821378355656092	0.02549045914694393	0.007583697098812046	0.0051775368810277785	0.001831883330608915	0.0	9.759214217117575E-4	0.0	0.0	7.762617603122162E-4	0.0
4	0.0	0.0	0.11264812259191535	0.6508246431514384	0.2068470948888744	0.005021189283756132	1.9631605182614503E-4	6.28792222792665E-4	0.01149067951455121	0.0	0.012343162294845634	0.0	0.0	0.0	0.0
5	1.5325429752198805E-4	1.8740015785174733E-8	0.002028555801469101	0.06313729121148083	0.7333063555878103	0.04369981980409896	0.0	0.0	0.0026240530783415597	1.0862976563878621E-4	0.04197958195677521	0.0018392613084593375	0.0	0.10776278084905151	0.0033603975993363767
6	0.001429332013977523	0.006404700111765232	0.013309114948155268	0.005038194587657101	0.13766439807954908	0.5174915369236821	0.1012777493835345	0.0	0.0027363221804697652	0.0	0.0	1.7419643763382742E-4	0.021125996823277822	0.18852745993666378	0.004820998573633939
7	0.012876426001066569	0.1171324698920952	0.012895965382081776	4.860253829881263E-7	0.0	0.27546213229506383	0.5047810112816519	0.002998138528771454	0.0	1.6783241702057877E-4	0.011147469567141962	2.3807994145916354E-4	0.0056479674119704	0.030494631268988576	0.026157389987305654
8	0.0024167278028157176	0.09605735660314109	0.0044407446757952366	8.569281599665253E-4	2.721548576550814E-4	0.0	0.0020992086858240004	0.7490963630623161	0.14234597370372254	1.710528236720064E-4	0.002215859709644478	2.7629915447221953E-5	0.0	0.0	0.0
9	3.1493642215064136E-4	0.0	0.001201381038143972	0.012438944736276852	0.0075756586605936795	0.002389685935029589	0.0	0.07574713510405554	0.7457644227782833	0.11636642190053574	0.010198469632558155	0.028002943792372642	0.0	0.0	0.0
10	9.514391027346732E-7	0.0	0.0	0.0	1.6538316019407958E-4	0.0	1.1989835947524161E-5	6.137667300495725E-5	0.03075495960309082	0.9457793297354746	0.01988549902828077	0.0033338985543081455	0.0	0.0	6.611970596294111E-6
11	1.6289861746012104E-4	0.0	0.0	0.0010486199611793902	0.009959029190703251	0.0	3.2492967413433934E-4	9.444076122654108E-5	8.640531168259966E-4	0.005285141413502927	0.9681227092547025	0.012073863237463267	0.0	0.001566854714695795	4.97460058105854E-4
12	0.0	0.0	0.0	0.0	0.0011716237181940744	1.3250579819452066E-5	1.3934097435387321E-5	1.1108298389547116E-5	0.0052336826630485014	0.0023347969204721587	0.032755888422555245	0.9581323568296511	0.0	2.4007929990261804E-5	3.093505404442531E-4
13	0.0	0.0	0.0	0.0	0.0	0.002006532637792423	2.5803611409195844E-4	0.0	0.0	0.0	0.0	0.0	0.9729115603644223	0.02375201184242624	0.001071859041267228
14	2.6431184781232285E-5	0.0	5.563149549470568E-6	0.0	0.003197368341458793	0.0018282202609070462	1.5088524895075656E-4	0.0	0.0	0.0	1.765407440290128E-4	2.4735469515077152E-6	0.0023892942867010784	0.9891693905357406	0.0030538327009302932
15	8.419853533098573E-4	2.0420472584354552E-4	7.255698785066764E-5	8.795604846934302E-4	0.0036258923255806158	0.0066021908533268085	0.0	1.0024655080932102E-5	0.0	6.3670529272956285E-6	0.003476423975761198	5.508666095879138E-4	0.005564240063505505	0.15361607952548945	0.824549607387043
